Portugal,Female,84.4
Qatar,Both sexes,77.17
Qatar,Male,78.03
Qatar,Female,76.63
South Korea,Both sexes,83.3
South Korea,Male,80.32
South Korea,Female,86.09
Moldova,Both sexes,73.26
Moldova,Male,69.26
Moldova,Female,77.12
The former Yugoslav Republic of Macedonia,Both sexes,74.82
The former Yugoslav Republic of Macedonia,Male,72.84
The former Yugoslav Republic of Macedonia,Female,76.87
Romania,Both sexes,75.57
Romania,Male,71.95
Romania,Female,79.26
Russia,Both sexes,73.23
Russia,Male,68.18
Russia,Female,78
Rwanda,Both sexes,69.1
Rwanda,Male,66.88
Rwanda,Female,71.24
Saint Lucia,Both sexes,74.33
Saint Lucia,Male,71.3
Saint Lucia,Female,77.71
Saint Vincent and the Grenadines,Both sexes,73.22
Saint Vincent and the Grenadines,Male,71.32
Saint Vincent and the Grenadines,Female,75.32
Samoa,Both sexes,70.45
Samoa,Male,69.16
Samoa,Female,71.85
Sao Tome and Principe,Both sexes,70.42
Sao Tome and Principe,Male,68.79
Sao Tome and Principe,Female,71.99
Saudi Arabia,Both sexes,74.31
Saudi Arabia,Male,73.11
Saudi Arabia,Female,76.15
Senegal,Both sexes,68.58
Senegal,Male,66.82
Senegal,Female,70.14
Serbia,Both sexes,75.87
Serbia,Male,73.46
Serbia,Female,78.28
Seychelles,Both sexes,73.34
Seychelles,Male,69.98
Seychelles,Female,77.15
Sierra Leone,Both sexes,60.77
Sierra Leone,Male,59.6
Sierra Leone,Female,61.9
Singapore,Both sexes,83.22
Singapore,Male,81.05
Singapore,Female,85.45
Slovakia,Both sexes,78.23
Slovakia,Male,74.84
Slovakia,Female,81.44
Slovenia,Both sexes,81.31
Slovenia,Male,78.59
Slovenia,Female,84.06
Solomon Islands,Both sexes,65.25
Solomon Islands,Male,62.87
Solomon Islands,Female,67.87
Somalia,Both sexes,56.47
Somalia,Male,54.01
Somalia,Female,59.22
South Africa,Both sexes,65.25
South Africa,Male,62.2
South Africa,Female,68.29
South Sudan,Both sexes,62.79
South Sudan,Male,60.83
South Sudan,Female,64.84
Spain,Both sexes,83.22
Spain,Male,80.68
Spain,Female,85.68
